Time	Quote	Title of book	Author
08:37	Eight thirty-seven am., Patrice Lane, Biohazard: The dog's clean. The Good Samaritan was a woman with an accent of some sort. Why haven't you called me?	Magic Bleeds	Ilona Andrews
08:38	'Vasquez's car was stopped at Carfraemill – at 08:38 hours,' he pointed out. 'Aye – annnd –?'<br>'Heading north, mon!' he snapped.	A Deviant Breed	Stephen Coill
08:39	Doug McGuire noticed the early hour, 8:39 A.M. on the one wall clock that gave Daylight Savings Time for the East Coast.	Terminal Compromise	Winn Schwartau
08:40	It was when I stood before her, avoiding her eyes, that I took note of the surrounding objects in detail, and saw that her watch had stopped at twenty minutes to nine, and that a clock in the room had stopped at twenty minutes to nine.	Great Expectations	Charles Dickens
08:41	By forty-one minutes past eight we are five hundred yards from the water's edge, and between our road and the foot of the mountain we descry the piled-up remains of a ruined tower.	Narrative of a Journey round the Dead Sea and in the Bible lands in 1850 and 1851	Félicien de Saulcy
08:42	When Black himself finally appeared at eighteen minutes to nine, she became very engrossed in the details of Wednesday's surveillance. So engrossed, in fact, that she barely noticed him standing in the door of her space until he spoke.	His Hot Number	Shannon Hollis
08:43	According to our rolling schedule, she would be expecting her phone to start ringing at seventeen minutes to nine.	Walking Dead	Greg Rucka
08:44	Several soldiers - some with their uniforms unbuttoned - were looking over a motorcycle, arguing about it. The sergeant looked at his watch; it was eight forty-four. They had to wait until nine. Hladik, feeling more insignificant than ill-fortuned, sat down on a pile of firewood.	The Secret Miracle	Jorge Luis Borges
08:45	He paid the waitress and left the café. It was 8:45. The sun pressed against the inside of a thin layer of cloud. He unbuttoned his jacket as he hurried down Queensway. His mind, unleashed, sprang forwards.	Dreams of Leaving	Rupert Thomson
08:46	Petrov undoubtedly had the remote, so there was no question now that the asshole had reset the time from 08:46 to… now.	Radiant Angel	Nelson DeMille
08:47	8.47. Bit misty on the roads	Dirk Gently's Holistic Detective Agency	Douglas Adams
08:48	Surely if she walked along Swaine Street and down Leeds Road, she could go into the old door, up the old steps and slip into her old chair, gather up her old stock of paper and scent and gum, and just go on with her work where she had left off? But it was twelve minutes to nine.	Courage	Malachi Whitaker
08:49	I had arranged to meet the Occupational Health Officer at 10:30. I took the train from Watford Junction at 8.19 and arrived at London Euston seven minutes late, at 8.49.	The Terrible Privacy of Maxwell Sim	Jonathan Coe
08:50	When they came back it was about ten minutes to nine. 'We'll sit in the sitting-room till the telephone rings,' said Julian. 'We don't want Mrs. Stick to answer it first.' But to their great dismay, as they reached the house, they heard Mrs. Stick using the telephone in the hall!	Five Run Away Together	Enid Blyton
08:51	The third platoon came in and disembarked quietly, only the slapping of the rotors on the cool mountain morning air breaking the silence. Then all the helicopters departed and the jungle was very quiet. It was 0851 hours. The day was clear with a slight breeze. To Cherry the jungle was very beautiful.	13th Valley	John M. Del Vecchio
08:52	Message one. Tuesday, 8.52am. Is anybody there? Hello?	Extremely Loud and Incredibly Close	Jonathan Safran Foer
08:53	The second bell rang on the steamer. It was seven minutes to nine, and the last of the luggage was packed. On the floor there still lay a pile of clothing, which was to be left as oil for the wounded joints of the gentlemen who had been flung down stairs.	Capt'n Davy's Honeymoon	Hall Caine
08:54	'Are you aware that at 08.54 Carthedian standard time yesterday, a report was received from Captain J. L. Gafeska of the cargo ship Axious that the occupants of charter ship KS55NZ/4 were found dead aboard said charter ship?'	Doctor Who: The Dalek Generation	Nicholas Briggs
08:55	By five minutes to nine George had arrived, looking very pale and swollen-eyed and wearing a black armband.	Goodnight Mister Tom	Michelle Magorian
08:56	I filled her in on the weekend's events, and she paled when I told her about the gunshot. 'Thank the Lord you weren't hurt.' We discussed the incident a few minutes longer, and then I noticed the time. Four minutes before nine. 	No Cats Allowed	Miranda James
08:57	He said just what you would expect a mayor to say – a watered-down shot of J. Edgar Hoover with some extra bad grammar thrown in. At three minutes to nine the door of the Bay City Camera Shop opened and an elderly Negro began to sweep dirt across the sidewalk into the gutter.	The Little Sister	Raymond Chandler
08:58	It was two minutes of nine now - two minutes before the bombs were set to explode - and three or four people were gathered in front of the bank waiting for it to open.	The Getaway	Jim Thompson
08:59	She had been lying in bed reading about Sophie and Alberto's conversation on Marx and had fallen asleep. The reading lamp by the bed had been on all night. The green glowing digits on her desk alarm clock showed 8:59.	Sophie's World	Jostein Gaarder
09:00	Unreal City,<br>Under the brown fog of a winter dawn,<br>A crowd flowed over London Bridge, so many,<br>I had not thought death had undone so many.<br>Sighs, short and infrequent, were exhaled,<br>And each man fixed his eyes before his feet.<br>Flowed up the hill and down King William Street,<br>To where Saint Mary Woolnoth kept the hours<br>With a dead sound on the final stroke of nine.	The Waste Land	T. S. Eliot
09:01	They've been given the time. I can promise you at one minute past nine tomorrow, you'll have what I have.'	New York to Dallas	J. D. Robb
09:02	It was two minutes past nine. Hanley nodded to the chief housing officer. 'Proceed,' he said. The council officer approached the door of the house and knocked loudly.	No Comebacks	Frederick Forsyth
09:03	This isn't a very good start to the new school year.' I stared at her. What was she talking about? Why was she looking at her watch? I wasn't late. Okay, the school bell had rung as I was crossing the playground, but you always get five minutes to get to your classroom. 'It's three minutes past nine,' Miss Beckworth announced. 'You're late.'	The Lottie Project	Jacqueline Wilson
09:04	However it might have been, they could not alter it. It was four minutes past nine when they clattered pêle-mêle down the school-room steps. Away they tore, full of fallacious hope, out at the cloisters, through the cathedral precincts, along the nearest streets, and arrived within the given four minutes, rather than over it.	Mrs. Halliburton's Troubles	Mrs. Henry Wood
09:05	The tour of the office doesn't take that long. In fact, we're pretty much done by 9:05 a.m. Ed looks at everything twice and says it's all great, and gives me a list of contacts who might be helpful, then has to leave for his own office.	Twenties Girl	Sophie Kinsella
09:06	Secretly, it's only six minutes past nine. I set my huge clock (oversize so that I can see it without my contacts in) nine minutes fast in the hope that somehow this deception will make me on time.	Milkrun	Sarah Mlynowski
09:07	It was a sparkling morning, 9:07 by the clock when Mrs. Flett stepped aboard the Imperial Limited at the Tyndall station, certain that her life was ruined, but managing, through an effort of will, to hold herself erect and to affect an air of preoccupation and liveliness.	The Stone Diaries	Carol Shields
09:08	9.08am rolled over onto left side.	A Fraction of the Whole	Steve Toltz
09:09	It was precisely nine minutes past nine when the 'Lion' hit the 'Blücher.' Shortly afterwards, the 'Tiger' drew up to within range, and the 'Lion' fired salvo after salvo at the 'Seydlitz,' which stood third in the German line.	Submarine U93	Charles Gilson
09:10	'Notwithstanding this absence of proof, I had seen enough to be convinced that at ten minutes past nine that morning my brother had been killed.	The Corsican Brothers	Alexandre Dumas
09:11	But now I was sort of regretting my little act of rebellion, because as I hurried out of the humid heat of a late August morning and into the air-conditioned brick building, it was already eleven minutes past nine and my astronomy class was on the second floor.	Wait for You	Jennifer L. Armentrout
09:12	On a Wednesday morning, then, at twelve minutes past nine EDT, the Pleiades hung poised, high over the Chancellery of Solar System Enterprises, Incorporated.	The Galaxy Primes	E. E. Smith
09:13	She tucked the phone in the crook of her neck and thumbed hurriedly through her pink messages. Dr. Provetto, at 9:13 A.M.	Mistaken Identity	Lisa Scottoline
09:14	'Like Lord Rodney against the French!' he said, waving in the direction of the picture in the hallway of Rodney in the Formidable leading the British fleet through the French line off the Dominican coast. Sanford liked the precision with which the engraving was subtitled ('at fourteen minutes past nine a.m., April 12, 1782'), but nevertheless shook his head.	The Choir Boats	Daniel A. Rabuzzi
